"c","s","p","ds","s.ds","fs","fs.i","seg","iso"
"France",1080839.29072881,1520880.56773446,463010.76275906,0.484815046390285,617828.52796975,1,"s3","FRA"
"France",675611.019272877,521715.527339548,218037.159593019,0.376334976185615,457573.859679858,1,"s4","FRA"
"Germany",4029535.5260742,1543542.69772866,704398.941260072,0.194161362730368,3325136.58481412,1,"s1","DEU"
"Germany",6088089.72068286,9823339.28080084,1818429.93295442,0.34204830225759,4269659.78772844,1,"s2","DEU"
"Germany",3151460.14263843,6370570.39738639,1078255.85508194,0.413534376270167,2073204.28755649,1,"s3","DEU"
"Germany",1723751.30133458,3662401.94410814,660160.246279738,0.472708348160575,1063591.05505484,1,"s4","DEU"
"Greece",241427.048589167,0,0,0,241427.048589167,1,"s1","GRC"
"Greece",143593.213130513,0,0,0,143593.213130513,1,"s2","GRC"
"Greece",18205.9445700691,0,0,0,18205.9445700691,1,"s3","GRC"
"Greece",6429.41599071382,0,0,0,6429.41599071382,1,"s4","GRC"
"Hungary",213352.916186745,673100.326186303,212770.664031947,0.997270943537101,582.252154797869,1,"s1","HUN"
"Hungary",267882.696420991,1232976.18827065,267871.072152772,0.999956606871685,11.6242682190496,1,"s2","HUN"
"Hungary",78321.7777520062,0,0,0,78321.7777520062,1,"s3","HUN"
"Hungary",54046.4118948139,0,0,0,54046.4118948139,1,"s4","HUN"
"India",11866192.0255362,13739922.0193227,11866186.3439061,0.999999521191791,5.68163014948368,1,"s1","IND"
"India",1912613.25201138,2579202.62250456,1912534.66699641,0.999999521191791,78.5850149765611,1,"s2","IND"
"India",669655.338152836,602921.654312392,602921.654312392,0.999999521191791,66733.6838404445,1,"s3","IND"
"India",198435.558119953,118455.844285127,118455.844285127,0.835728150591485,79979.7138348262,1,"s4","IND"
"Indonesia",2725068.12586416,3306000.59232066,2725060.69627293,0.999997273612665,7.42959122406319,1,"s1","IDN"
"Indonesia",694735.397007105,832894.988937566,681701.494063949,0.999997273612665,13033.9029431557,1,"s2","IDN"
"Indonesia",590704.365213601,252494.424696857,252470.876460153,0.598369079118625,338233.488753448,1,"s3","IDN"
"Indonesia",75845.3776779253,12466.4644102011,12454.1790775731,0.229886793927549,63391.1986003522,1,"s4","IDN"
"Iran",2318118.47195509,2314138.70090487,2314138.70090487,0.998283189104278,3979.77105022687,1,"s1","IRN"
"Iran",1243562.14287941,1248095.93948095,1243543.51770651,0.999985022724428,18.6251729046926,1,"s2","IRN"
"Iran",1184034.66223952,1183961.52566341,1183913.47597279,0.999985022724428,121.186266732635,1,"s3","IRN"
"Iran",8809.72709731399,3760.25698604761,3760.25698604761,0.597562185787993,5049.47011126638,1,"s4","IRN"
"Ireland",165073.520495132,0,0,0,165073.520495132,1,"s1","IRL"
"Ireland",304729.835037955,0,0,0,304729.835037955,1,"s2","IRL"
"Ireland",110977.779452661,0,0,0,110977.779452661,1,"s3","IRL"
"Ireland",52199.9232371797,0,0,0,52199.9232371797,1,"s4","IRL"
"Israel",369677.995090031,0,0,0,369677.995090031,1,"s1","ISR"
"Israel",580483.053130224,0,0,0,580483.053130224,1,"s2","ISR"
"Israel",133325.165160729,0,0,0,133325.165160729,1,"s3","ISR"
"Israel",48534.2041557165,0,0,0,48534.2041557165,1,"s4","ISR"
"Italy",4791342.3202928,2081632.87606668,1050670.00930873,0.251297010693506,3740672.31098407,1,"s1","ITA"
"Italy",2549595.30676284,133757.153082338,77527.3931549405,0.030903400630913,2472067.9136079,1,"s2","ITA"
"Italy",629438.116277708,371462.74731558,47267.6816042104,0.0776758630547823,582170.434673497,1,"s3","ITA"
"Italy",433583.212040445,1314865.73425475,151405.914574735,0.406915457529636,282177.29746571,1,"s4","ITA"
"Japan",12534212.0417615,12371494.6265448,11843333.6610492,0.95,690878.380712358,1,"s1","JPN"
"Japan",2991955.74289629,14895103.2986521,2788439.56633697,0.95,203516.176559311,1,"s2","JPN"
"Japan",3641600.99030847,5289756.77835098,3074185.49739868,0.95,567415.492909791,1,"s3","JPN"
"Japan",1078269.93030672,3566452.73660127,915424.366531998,0.95,162845.563774717,1,"s4","JPN"
"Kenya",0,0,0,0,0,1,"s1","KEN"
"Kenya",56450.2183633631,0,0,0,56450.2183633631,1,"s2","KEN"
"Kenya",21092.9220038562,0,0,0,21092.9220038562,1,"s3","KEN"
"Kenya",0,0,0,0,0,1,"s4","KEN"
"Malaysia",1415508.73016247,1451455.00841008,1415372.71715558,0.999903912279738,136.013006892288,1,"s1","MYS"
"Malaysia",668564.645627993,404298.602110454,403943.942186056,0.845874101717233,264620.703441937,1,"s2","MYS"
"Malaysia",175268.432473239,220009.628213426,147542.268137733,0.999903912279738,27726.1643355062,1,"s3","MYS"
"Malaysia",80810.7721320677,49094.1588161226,49093.9325754842,0.850524055052353,31716.8395565835,1,"s4","MYS"
"Mexico",2725257.76553566,3827531.32475334,1090382.96494835,0.558872061650949,1634874.8005873,1,"s1","MEX"
"Mexico",2381226.66783464,5541341.53034695,1246554.85356097,0.697161933756082,1134671.81427367,1,"s2","MEX"
"Mexico",657647.7024173,5514955.07027145,81966.5176599754,0.133835715831541,575681.184757325,1,"s3","MEX"
"Mexico",133103.937927247,220531.603741862,5701.56222981659,0.0436498098734852,127402.375697431,1,"s4","MEX"
"Morocco",331465.216053375,996970.686904997,168944.970548061,0.713567962223821,162520.245505314,1,"s1","MAR"
"Morocco",259800.766342567,537596.222130199,112324.498200766,0.605288043198923,147476.268141801,1,"s2","MAR"
"Morocco",44460.7363862775,0,0,0,44460.7363862775,1,"s3","MAR"
"Morocco",40307.9219987757,0,0,0,40307.9219987757,1,"s4","MAR"
"Netherlands",796958.315477549,290325.827943391,56946.0940629707,0.0745153184492464,740012.221414578,1,"s1","NLD"
"Netherlands",638324.213726725,690091.24263201,217652.832243046,0.36636414154663,420671.381483679,1,"s2","NLD"
"Netherlands",314139.347490901,0,0,0,314139.347490901,1,"s3","NLD"
"Netherlands",170535.507501622,0,0,0,170535.507501622,1,"s4","NLD"
"New Zealand",101827.613683523,0,0,0,101827.613683523,1,"s1","NZL"
"New Zealand",342078.940611499,0,0,0,342078.940611499,1,"s2","NZL"
"New Zealand",129924.861523723,0,0,0,129924.861523723,1,"s3","NZL"
"New Zealand",34982.6618671155,0,0,0,34982.6618671155,1,"s4","NZL"
"Nigeria",0,0,0,0,0,1,"s1","NGA"
"Nigeria",190181.481758129,0,0,0,190181.481758129,1,"s2","NGA"
"Nigeria",27469.172441463,0,0,0,27469.172441463,1,"s3","NGA"
"Nigeria",0,0,0,0,0,1,"s4","NGA"
"Norway",112366.341368722,0,0,0,112366.341368722,1,"s1","NOR"
"Norway",354971.781919492,0,0,0,354971.781919492,1,"s2","NOR"
"Norway",193234.859600078,0,0,0,193234.859600078,1,"s3","NOR"
"Norway",99621.6697480627,0,0,0,99621.6697480627,1,"s4","NOR"
"Pakistan",595727.535935132,594688.1299183,594688.1299183,0.998255232544857,1039.40601683233,1,"s1","PAK"
"Pakistan",276535.158650061,275998.331898216,275998.246602803,0.998255232544857,536.912047258054,1,"s2","PAK"
"Pakistan",14136.9973257613,15354.7496476302,14124.7312687946,0.999132343546225,12.2660569666969,1,"s3","PAK"
"Pakistan",0,0,0,0,0,1,"s4","PAK"
"Peru",268553.541594825,0,0,0,268553.541594825,1,"s1","PER"
"Peru",238067.755808634,0,0,0,238067.755808634,1,"s2","PER"
"Peru",97610.0873553689,0,0,0,97610.0873553689,1,"s3","PER"
"Peru",24727.8772548244,0,0,0,24727.8772548244,1,"s4","PER"
"Philippines",590235.819539984,219076.791264626,219076.791264626,0.519635538232019,371159.028275358,1,"s1","PHL"
"Philippines",459319.112196711,148854.995978242,148854.995978242,0.453708519492847,310464.116218469,1,"s2","PHL"
"Philippines",589160.511218675,28612.3365666622,28612.3365666622,0.0679904209982927,560548.174652013,1,"s3","PHL"
"Philippines",27246.3158511282,6410.98887590892,6410.98887590892,0.329416442036175,20835.3269752192,1,"s4","PHL"
"Poland",679387.248740873,1011509.7727901,152581.442000678,0.258888577296886,526805.806740195,1,"s1","POL"
"Poland",974069.008086463,1227422.37452027,253685.337893514,0.295468842109828,720383.670192949,1,"s2","POL"
"Poland",380347.967162435,111575.602078293,57497.7422282841,0.163258760621917,322850.224934151,1,"s3","POL"
"Poland",239736.42433209,195846.454168564,57023.5574957233,0.275153660937938,182712.866836366,1,"s4","POL"
"Portugal",447170.010196908,0,0,0,447170.010196908,1,"s1","PRT"
"Portugal",430885.918297914,661498.895577039,144189.491478533,0.350400702877717,286696.426819381,1,"s2","PRT"
"Portugal",101969.337630245,236849.602195628,18819.4380111311,0.199650776556598,83149.8996191134,1,"s3","PRT"
"Portugal",60584.3217463766,0,0,0,60584.3217463766,1,"s4","PRT"
"Rest of EU",414035.40826852,1070880.98279783,77547.0692343415,0.262214039572356,336488.339034178,1,"s1","REU"
"Rest of EU",658160.120113232,119.488550888743,8.62689434465748e-14,1.83506288415691e-19,658160.120113232,1,"s2","REU"
"Rest of EU",208597.877660279,106.05709089171,1.20007050912168e-21,8.05424643632542e-27,208597.877660279,1,"s3","REU"
"Rest of EU",109544.33383437,0,0,0,109544.33383437,1,"s4","REU"
"Rest of Middle East Africa",116693.210460041,0,0,0,116693.210460041,1,"s1","RMA"
"Rest of Middle East Africa",1389782.59687688,0,0,0,1389782.59687688,1,"s2","RMA"
"Rest of Middle East Africa",772594.62624372,0,0,0,772594.62624372,1,"s3","RMA"
"Rest of Middle East Africa",360666.769353324,0,0,0,360666.769353324,1,"s4","RMA"
"Rest of South America",283968.81948364,64803.5021253849,61475.0741401752,0.303079415383503,222493.745343465,1,"s1","RSA"
"Rest of South America",953737.957106877,36044.3402798896,32866.1317256904,0.048244472261064,920871.825381187,1,"s2","RSA"
"Rest of South America",694101.932051546,46707.6843991468,45766.2544063207,0.0923102979694498,648335.677645225,1,"s3","RSA"
"Rest of South America",28598.4668176586,0,0,0,28598.4668176586,1,"s4","RSA"
"Rest of South Asia Oceania",120447.667927868,0,0,0,120447.667927868,1,"s1","RAO"
"Rest of South Asia Oceania",58940.488058168,0,0,0,58940.488058168,1,"s2","RAO"
"Rest of South Asia Oceania",27462.3454919377,0,0,0,27462.3454919377,1,"s3","RAO"
"Rest of South Asia Oceania",5683.17100689886,0,0,0,5683.17100689886,1,"s4","RAO"
"Romania",265671.97629878,753237.516547692,68390.6978534578,0.296792555146612,197281.278445322,1,"s1","ROU"
"Romania",190783.535919532,910627.954748617,39360.4308920559,0.226966865500817,151423.105027476,1,"s2","ROU"
"Romania",50624.9841613323,0,0,0,50624.9841613323,1,"s3","ROU"
"Romania",57463.3750304752,0,0,0,57463.3750304752,1,"s4","ROU"
"Russia",2976142.64316225,2754086.0686443,2754034.1307524,0.95,222108.512409852,1,"s1","RUS"
"Russia",1987795.15270681,2247504.36854984,1987794.84428231,0.999999844840904,0.308424499584362,1,"s2","RUS"
"Russia",930001.645789358,732181.698321617,724833.561528233,0.999999844840904,205168.084261126,1,"s3","RUS"
"Russia",693888.867956404,132796.788626903,132440.627763177,0.267214084893053,561448.240193227,1,"s4","RUS"
"Saudi Arabia",252237.604448401,0,0,0,252237.604448401,1,"s1","SAU"
"Saudi Arabia",866044.147649999,0,0,0,866044.147649999,1,"s2","SAU"
"Saudi Arabia",784721.641425024,0,0,0,784721.641425024,1,"s3","SAU"
"Saudi Arabia",318309.546011473,0,0,0,318309.546011473,1,"s4","SAU"
"Singapore",41807.8557888749,0,0,0,41807.8557888749,1,"s1","SGP"
"Singapore",174863.250770011,0,0,0,174863.250770011,1,"s2","SGP"
"Singapore",111115.122602542,0,0,0,111115.122602542,1,"s3","SGP"
"Singapore",54060.7572618336,0,0,0,54060.7572618336,1,"s4","SGP"
"Slovakia",130307.946414712,2076090.33257655,106096.432511637,0.95,24211.5139030746,1,"s1","SVK"
"Slovakia",194840.050034545,1198933.3069333,133589.433074562,0.95,61250.6169599833,1,"s2","SVK"
"Slovakia",51627.3718413009,0,0,0,51627.3718413009,1,"s3","SVK"
"Slovakia",37218.0376783345,856826.542089329,32266.9609601756,0.95,4951.07671815888,1,"s4","SVK"
"South Africa",854526.045572907,618909.895845163,606106.875200821,0.95,248419.170372086,1,"s1","ZAF"
"South Africa",868483.760677887,241257.268060218,240665.590581733,0.387954089724646,627818.170096154,1,"s2","ZAF"
"South Africa",264137.875027205,1389362.4079593,219250.224724863,0.95,44887.6503023424,1,"s3","ZAF"
"South Africa",141508.786988022,81199.3148538299,80893.5824308725,0.800310834498265,60615.20455715,1,"s4","ZAF"
"South Korea",1149079.82219269,4534801.92365417,1114588.31967272,0.969983371168985,34491.502519967,1,"s1","KOR"
"South Korea",1426484.09253587,6984362.67468263,1237055.3771981,0.969983371168985,189428.715337769,1,"s2","KOR"
"South Korea",3567783.79946773,3701962.5177237,2859636.69321829,0.969983371168985,708147.10624944,1,"s3","KOR"
"South Korea",954138.601998656,842026.271566477,712077.013631472,0.969983371168985,242061.588367184,1,"s4","KOR"
"Spain",2174725.38248493,5025108.16736287,1128913.31907925,0.68224933186074,1045812.06340569,1,"s1","ESP"
"Spain",2679626.8223786,4945546.96049024,1523518.97413169,0.698615028726848,1156107.84824691,1,"s2","ESP"
"Spain",624784.795676548,1296694.75841943,407930.903829072,0.766633303333824,216853.891847476,1,"s3","ESP"
"Spain",237015.46737652,0,0,0,237015.46737652,1,"s4","ESP"
"Sweden",278829.935986018,0,0,0,278829.935986018,1,"s1","SWE"
"Sweden",664151.306971496,0,0,0,664151.306971496,1,"s2","SWE"
"Sweden",457277.027936776,527873.850983261,252850.074494607,0.575075031499822,204426.953442169,1,"s3","SWE"
"Sweden",241649.074571499,641087.545015888,203497.708583244,0.902510923524624,38151.3659882551,1,"s4","SWE"
"Switzerland",363035.261830603,0,0,0,363035.261830603,1,"s1","CHE"
"Switzerland",559903.529896216,0,0,0,559903.529896216,1,"s2","CHE"
"Switzerland",323083.740414415,0,0,0,323083.740414415,1,"s3","CHE"
"Switzerland",153903.19534317,0,0,0,153903.19534317,1,"s4","CHE"
"Taiwan",404226.595061359,303206.722094034,265246.506747468,0.918655808359386,138980.088313891,1,"s1","TWN"
"Taiwan",797884.675673173,684350.648685667,366104.934488041,0.642382193705904,431779.741185132,1,"s2","TWN"
"Taiwan",351028.549870505,123156.213612636,100233.534206769,0.399759358437492,250795.015663737,1,"s3","TWN"
"Taiwan",160148.190335101,0,0,0,160148.190335101,1,"s4","TWN"
"Thailand",1097832.71082006,2284546.53630187,1071590.74898691,0.976096575029584,26241.9618331559,1,"s1","THA"
"Thailand",1844815.04074099,1786850.93559284,1784577.0379278,0.976096575029584,60238.0028131912,1,"s2","THA"
"Thailand",426372.727877571,3851727.82959908,398076.734978498,0.976096575029584,28295.992899073,1,"s3","THA"
"Thailand",60885.0923864086,90465.3288520488,56355.9615537912,0.976096575029584,4529.1308326174,1,"s4","THA"
"Turkey",866382.834378385,2403966.08236222,582093.150645696,0.940612369690673,284289.683732689,1,"s1","TUR"
"Turkey",1607055.96018387,2347933.11198399,963627.437044492,0.839471956974001,643428.523139381,1,"s2","TUR"
"Turkey",370827.945179412,616281.420497668,197567.909167261,0.745885191312495,173260.036012151,1,"s3","TUR"
"Turkey",230022.095359063,507692.15553926,160729.963744489,0.95,69292.1316145742,1,"s4","TUR"
"United Arab Emirates",99823.3211161794,0,0,0,99823.3211161794,1,"s1","ARE"
"United Arab Emirates",312604.60517904,0,0,0,312604.60517904,1,"s2","ARE"
"United Arab Emirates",367106.075019025,0,0,0,367106.075019025,1,"s3","ARE"
"United Arab Emirates",330835.083047104,0,0,0,330835.083047104,1,"s4","ARE"
"United Kingdom",3736264.98541274,1013988.21195049,536702.189309619,0.201105400170235,3199562.79610312,1,"s1","GBR"
"United Kingdom",4444428.51589175,3122364.20017595,880345.801302077,0.277309921267935,3564082.71458967,1,"s2","GBR"
"United Kingdom",1993986.00578697,993939.233474311,356942.339201124,0.250613230700357,1637043.66658585,1,"s3","GBR"
"United Kingdom",1125843.68117385,1161207.8749272,330864.618233489,0.411434085630716,794979.062940365,1,"s4","GBR"
"United States",3920939.32973485,205733.174412591,154943.942027243,0.0411812965942917,3765995.38770761,1,"s1","USA"
"United States",24748154.9370011,9874845.50986592,8922039.23223773,0.447808795339669,15826115.7047634,1,"s2","USA"
"United States",32950287.1003869,26462566.0588931,21733546.8109968,0.739944743684041,11216740.2893902,1,"s3","USA"
"United States",7557393.29161392,7581596.19071446,4933371.11321137,0.747581888644167,2624022.17840255,1,"s4","USA"
"Uruguay",135702.3800133,763.029255106541,762.839342247664,0.00786998046049054,134939.540671052,1,"s1","URY"
"Uruguay",37569.345088622,13206.9290360593,13196.0128613925,0.491741816695776,24373.3322272295,1,"s2","URY"
"Uruguay",5139.47482035279,7078.16388978104,3205.43704657229,0.873165454071271,1934.0377737805,1,"s3","URY"
"Uruguay",3359.91370143406,0,0,0,3359.91370143406,1,"s4","URY"
"Venezuela",1385.00844830034,879.777112816576,879.777112816574,0.889299960194983,505.231335483762,1,"s1","VEN"
"Venezuela",1914.21059676268,1914.40057258175,1914.20359902958,0.999996344324332,0.00699773310225282,1,"s2","VEN"
"Venezuela",4260.14707950102,3055.39438727843,3055.39438727843,0.999996344324332,1204.7526922226,1,"s3","VEN"
"Venezuela",57.2152246705657,1074.77761124622,32.6864645306033,0.799805481955686,24.5287601399624,1,"s4","VEN"
"Vietnam",339431.587450418,257632.973251169,222199.420576237,0.91647094822067,117232.166874181,1,"s1","VNM"
"Vietnam",378400.192779917,353047.670240583,338317.752001788,0.95,40082.4407781291,1,"s2","VNM"
"Vietnam",274141.207280649,78322.7337133325,71628.0018803737,0.365793977590035,202513.205400275,1,"s3","VNM"
"Vietnam",67546.6871513074,44691.1905028038,44677.6885406758,0.926007870923916,22868.9986106317,1,"s4","VNM"
"Western Europe non EU",25393.5989036097,0,0,0,25393.5989036097,1,"s1","WEU"
"Western Europe non EU",34082.835603912,0,0,0,34082.835603912,1,"s2","WEU"
"Western Europe non EU",13860.7464963536,0,0,0,13860.7464963536,1,"s3","WEU"
"Western Europe non EU",4899.26544089938,0,0,0,4899.26544089938,1,"s4","WEU"
